centroid_x,centroid_y,contour_area,countour_perimeter,ellipse_center_x,ellipse_center_y,eccentricity
47,48,7352.5,970.9432128667831,47.74925231933594,47.67073059082031,0.58333288119989091
44,43,7264.5,775.2030984163284,44.89285659790039,43.419124603271484,0.5321630698923101
50,46,7974.5,706.835567355156,49.75634765625,46.6092414855957,0.49070376409690203
48,48,7400.5,725.0609630346298,48.386199951171875,47.21837615966797,0.49000030152932178
48,47,7055.5,1064.3401814699173,48.146549224853516,47.85631561279297,0.59395586780266396
48,49,7595.5,811.1198381185532,47.521060943603516,45.58694076538086,0.61792859614303342
49,49,6443.0,1579.425529718399,47.21644973754883,49.999549865722656,0.52801633336715803
48,47,7840.5,665.8061298131943,48.69707489013672,47.2007942199707,0.51110355915547845
47,46,7298.0,695.7056245803833,47.56422424316406,43.95353698730469,0.562088454623211
47,48,7458.0,996.2985513210297,46.439979553222656,46.31329345703125,0.60890526050662608
48,46,8483.0,474.08326029777527,47.36812210083008,47.68913269042969,0.097159520825048598
46,46,8402.5,512.9533175230026,46.91750717163086,47.232608795166016,0.26944324766131661
47,48,7881.5,769.6051193475723,46.41026306152344,47.63024139404297,0.57840520737256618
47,49,7971.5,682.3502861261368,48.04154968261719,47.859100341796875,0.57984219270684767
46,46,8252.0,579.4802289009094,46.691978454589844,47.639278411865234,0.34903565249695179
47,47,8648.0,372.8284270763397,47.49678421020508,47.50454330444336,0.019706143884723987
46,43,7383.5,567.8650048971176,46.61615753173828,42.08402633666992,0.45272113650168538
47,44,7385.5,542.5512965917587,46.96195602416992,43.670223236083984,0.28595065609269138
47,47,7973.0,675.0782079696655,47.936954498291016,47.777259826660156,0.49000213461093606
48,46,8320.5,536.8944424390793,48.982669830322266,46.565147399902344,0.34600908164781313
47,48,7420.5,1011.2274836301804,47.22650146484375,46.26529312133789,0.61577229659589783
49,47,7707.0,816.6761870384216,48.78175735473633,45.34035110473633,0.58630324969732661
47,47,8649.0,372.0,47.5,47.5,0.0
47,48,7401.0,1014.156415939331,47.20253372192383,46.489437103271484,0.61398512919736903
48,47,8334.0,533.5391039848328,47.93736267089844,47.23674774169922,0.42303375128564003
47,47,8649.0,372.0,47.5,47.5,0.0
44,46,7006.5,926.4823168516159,45.424285888671875,47.115970611572266,0.51848684669559952
46,47,7039.0,1082.4650719165802,46.80616760253906,49.19145584106445,0.53354910107225284
46,46,7990.0,711.9066350460052,46.4178581237793,48.80173873901367,0.48729301969265532
55,45,7095.5,391.63960921764374,55.592750549316406,46.52674102783203,0.56629321764695684
47,47,7010.0,1033.7300097942352,46.55130386352539,47.51351547241211,0.58127303541691633
47,47,8377.5,511.09545290470123,46.39784240722656,48.05717849731445,0.14141755093285069
47,48,7549.5,898.3746713399887,48.04521560668945,45.043888092041016,0.60005901249956606
47,47,8649.0,372.0,47.5,47.5,0.0
48,46,7579.0,853.2447285652161,47.573570251464844,45.926795959472656,0.57647051837801322
46,46,8460.0,464.56854152679443,46.66693878173828,47.282196044921875,0.29096325640947746
48,51,6893.0,960.0731556415558,45.7364501953125,49.718841552734375,0.49097840926158742
48,45,7558.0,608.4507913589478,47.40776824951172,44.40345001220703,0.38718349740323904
49,47,7636.5,881.1198381185532,47.23564529418945,46.40795135498047,0.59608149385729647
47,45,6617.0,1240.4061968326569,48.10942840576172,46.44533920288086,0.52562881532721462
48,46,8280.5,535.0954529047012,49.56943893432617,46.09320831298828,0.42218314621988556
47,47,8649.0,372.0,47.5,47.5,0.0
47,47,8649.0,372.0,47.5,47.5,0.0
47,50,6935.5,1205.192993760109,48.15156555175781,48.56899642944336,0.55834062118540095
48,48,7663.5,810.3746713399887,47.8167610168457,46.24971389770508,0.62148766279783529
47,46,7767.0,802.8183224201202,48.405906677246094,46.919376373291016,0.53988353715920256
47,47,8647.0,372.8284270763397,47.50651168823242,47.499141693115234,0.021961270784414334
48,47,8376.0,543.6812393665314,49.523109436035156,47.756534576416016,0.44941040968113521
49,45,7576.0,797.1614682674408,49.06476593017578,47.369850158691406,0.55417743390198515
47,47,8649.0,372.0,47.5,47.5,0.0
47,48,7759.0,820.8771975040436,47.91390609741211,45.359867095947266,0.63052675357994592
48,45,7508.0,662.735062122345,48.133487701416016,44.57545471191406,0.40852126661596883
47,47,8646.0,374.8284270763397,47.49126052856445,47.429325103759766,0.09184084786638598
47,49,7608.5,778.9188276529312,49.64544677734375,46.46126937866211,0.49492091650657083
47,47,8641.0,378.48528122901917,47.476966857910156,47.631622314453125,0.13034643040937366
47,47,8647.0,373.65685415267944,47.49931335449219,47.50727844238281,0.021977298927359664
47,47,8649.0,372.0,47.5,47.5,0.0
47,47,8642.5,375.0710676908493,47.507843017578125,47.46980285644531,0.049917128659865764
48,48,7404.0,818.6173119544983,47.94866180419922,47.10496520996094,0.54551973624139782
44,46,7283.5,913.2274836301804,46.42578125,47.738487243652344,0.49873853749171887
45,48,8149.0,587.6812393665314,45.42753601074219,46.59735870361328,0.52485497608993326
46,48,7318.5,1089.0264731645584,46.5198860168457,48.85093688964844,0.61196903570328354
47,47,8649.0,372.0,47.5,47.5,0.0
47,47,8552.5,369.0710676908493,48.288246154785156,48.213706970214844,0.24726640059593527
50,47,7916.5,721.8061298131943,49.006446838378906,46.7208251953125,0.53671255017463326
51,43,7222.0,914.9848430156708,52.770755767822266,45.53644561767578,0.29803910165627284
49,47,8091.0,635.9655101299286,50.04273986816406,46.150184631347656,0.49315745402580902
47,47,8647.0,373.65685415267944,47.493221282958984,47.490604400634766,0.028692533209597575
48,45,8275.5,628.4924215078354,47.59284973144531,45.71872329711914,0.46945048179439602
49,47,7625.5,954.6000670194626,46.570709228515625,46.8314094543457,0.57653011761722117
47,48,7274.0,890.156415939331,47.21210861206055,47.033729553222656,0.58359601174122677
48,50,6978.5,1248.5067020654678,48.735843658447266,45.84708023071289,0.55480021596276974
47,47,8648.0,372.8284270763397,47.49678421020508,47.50454330444336,0.019706143884723987
47,47,8552.5,441.8406196832657,47.53756332397461,47.752174377441406,0.20373635527823603
47,45,8203.0,590.4507913589478,46.189674377441406,44.98006820678711,0.29647671362913036
49,48,7946.0,759.1614682674408,50.99846649169922,47.89277267456055,0.57394167493623638
47,50,7187.5,1213.192993760109,47.28333282470703,45.531105041503906,0.60336696217034347
49,47,8039.0,697.3624787330627,49.63808822631836,46.22111511230469,0.50050062697838482
46,46,8345.0,534.3675310611725,46.839324951171875,47.24627685546875,0.2855960076652761
47,47,8634.0,383.3137083053589,47.44760513305664,47.41556167602539,0.10176222130021055
48,47,8542.0,369.3137083053589,48.39349365234375,48.31982421875,0.26267253020988968
44,45,8048.5,487.2964633703232,44.04037857055664,44.63447570800781,0.49832042681710087
47,49,7970.0,658.1665205955505,46.77216339111328,47.21584701538086,0.54497279104938334
55,46,6475.5,776.9432128667831,55.07072830200195,46.53925704956055,0.69170477100822625
